timestamp,prompt_type,prompt_length,input_tokens,output_tokens,prompt_eval_time,output_eval_time,total_time,avg_token_latency,throughput,model_name,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent,batch_size,time_to_first_token_user_est
2025-11-04T00:51:02.506114,simple,short,8,76,26.783043146133423,0.9850032329559326,27.768046379089355,0.0129605688546833,77.15710716190118,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,92,32,26.903043146133424
2025-11-04T00:51:03.268133,simple,short,4,7,0.7000010013580322,0.0165016651153564,0.7165026664733887,0.0023573807307652,424.1996156791354,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,0.8200010013580322
2025-11-04T00:51:05.067134,simple,short,4,131,0.7615821361541748,1.7559218406677246,2.5175039768218994,0.0134039835165475,74.60468738755742,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,0.8815821361541748
2025-11-04T00:51:05.317135,simple,short,7,18,2.547001838684082,0.227001667022705,2.774003505706787,0.0126112037234836,79.29457186849474,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,2.667001838684082
2025-11-04T00:51:05.512135,simple,short,7,14,2.7777750492095947,0.1730000972747802,2.950775146484375,0.0123571498053414,80.92480998876815,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,2.897775049209595
2025-11-04T00:51:05.627135,simple,short,6,8,2.967504501342773,0.0934984683990478,3.0610029697418213,0.0116873085498809,85.56289891141648,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,3.087504501342773
2025-11-04T00:51:06.453135,simple,short,7,62,3.105297803878784,0.8030014038085938,3.908299207687378,0.0129516355452998,77.21032579262905,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,3.2252978038787843
2025-11-04T00:51:09.503641,simple,short,6,228,3.920796394348145,3.028005599975586,6.9488019943237305,0.0132807263156823,75.29708663743499,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,4.040796394348145
2025-11-04T00:51:09.646141,simple,short,5,10,6.979510545730591,0.1205005645751953,7.100011110305786,0.0120500564575195,82.98716304984409,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,7.099510545730591
2025-11-04T00:51:10.024141,simple,short,7,28,7.123007297515869,0.3560004234313965,7.479007720947266,0.0127143008368355,78.65159184395121,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,7.243007297515869
2025-11-04T00:51:10.377645,simple,short,6,26,7.475213050842285,0.33150315284729,7.806716203689575,0.0127501212633573,78.4306266069727,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,7.595213050842285
2025-11-04T00:51:10.995145,simple,short,6,46,7.8476903438568115,0.5940017700195312,8.441692113876343,0.0129130819569463,77.44084668045262,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,7.967690343856812
2025-11-04T00:51:12.018145,simple,short,8,77,8.444514751434326,0.9995002746582032,9.44401502609253,0.0129805230475091,77.03849808978944,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,8.564514751434325
2025-11-04T00:51:12.160645,simple,short,5,10,9.47551417350769,0.1195003986358642,9.595014572143556,0.0119500398635864,83.68172921725147,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,9.59551417350769
2025-11-04T00:51:13.110852,simple,short,8,71,9.639087677001951,0.9272067546844482,10.5662944316864,0.0130592500659781,76.5740754597534,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,9.75908767700195
2025-11-04T00:51:15.575858,simple,short,7,185,10.569721221923828,2.4420061111450195,13.01222848892212,0.0132000330332163,75.75738617347534,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,10.689721221923827
2025-11-04T00:51:16.020356,simple,short,5,33,13.019725561141968,0.4219989776611328,13.4417245388031,0.0127878478079131,78.19924157849302,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,13.139725561141967
2025-11-04T00:51:19.015863,simple,short,6,224,13.469728469848633,2.9725027084350586,16.44223117828369,0.0132701013769422,75.35737456667613,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,13.589728469848632
2025-11-04T00:51:19.197862,simple,short,7,13,16.491729497909546,0.1585009098052978,16.650230407714844,0.0121923776773306,82.01845665093765,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,16.611729497909547
2025-11-04T00:51:19.366362,simple,short,4,12,16.670730113983154,0.1455011367797851,16.81623125076294,0.0121250947316487,82.47358244466439,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,16.790730113983155
2025-11-04T00:51:19.615864,simple,short,7,18,16.841231107711792,0.2260031700134277,17.06723427772522,0.0125557316674126,79.64490055130885,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,16.961231107711793
2025-11-04T00:51:19.809863,simple,short,6,14,17.071733474731445,0.1709990501403808,17.242732524871826,0.01221421786717,81.87179980536013,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,17.191733474731446
2025-11-04T00:51:22.384867,simple,short,5,193,17.27023482322693,2.551501750946045,19.821736574172974,0.0132202163261453,75.64172743696513,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,17.39023482322693
2025-11-04T00:51:23.898871,simple,short,5,114,19.856236219406128,1.491004467010498,21.347240686416622,0.0130789865527236,76.45852344666204,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,19.97623621940613
2025-11-04T00:51:24.054869,simple,short,7,11,21.335238695144653,0.1329991817474365,21.46823787689209,0.0120908347043124,82.70727575519102,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,21.455238695144654
2025-11-04T00:51:24.222872,simple,short,7,12,21.505737781524655,0.145503282546997,21.65124106407165,0.012125273545583,82.47236618956717,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,21.625737781524656
2025-11-04T00:51:26.509064,simple,short,6,172,21.673240423202515,2.261194467544556,23.93443489074707,0.0131464794624683,76.06599187675168,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,21.793240423202516
2025-11-04T00:51:26.691565,simple,short,5,13,23.95343327522278,0.1585011482238769,24.11193442344665,0.0121923960172213,82.01833327817907,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,24.07343327522278
2025-11-04T00:51:26.849064,simple,short,6,11,24.17093133926392,0.1324994564056396,24.30343079566956,0.0120454051277854,83.01920851904568,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,24.29093133926392
2025-11-04T00:51:26.991565,simple,short,7,10,24.28939652442932,0.1190013885498046,24.40839791297913,0.0119001388549804,84.03263291179817,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,24.409396524429322
2025-11-04T00:51:27.173067,simple,short,5,13,24.442934036254883,0.1575031280517578,24.60043716430664,0.0121156252347506,82.5380432808167,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,24.562934036254884
2025-11-04T00:51:28.369112,simple,short,5,90,24.612934112548828,1.1725471019744873,25.785481214523315,0.0130283011330498,76.75597837259271,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,24.73293411254883
2025-11-04T00:51:28.550612,simple,short,7,13,25.79580068588257,0.1575009822845459,25.953301668167114,0.0121154601757343,82.53916776540363,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,25.91580068588257
2025-11-04T00:51:29.651113,simple,short,5,83,26.02998304367065,1.0774996280670166,27.10748267173767,0.012981923229723,77.0301890023833,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,26.14998304367065
2025-11-04T00:51:29.832116,simple,short,5,13,27.092484712600708,0.1575024127960205,27.24998712539673,0.0121155702150785,82.53841810560797,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,27.21248471260071
2025-11-04T00:51:30.314617,simple,short,7,36,27.272984266281128,0.4590020179748535,27.73198628425598,0.012750056054857,78.43102773019238,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,27.39298426628113
2025-11-04T00:51:30.469616,simple,short,6,11,27.762486219406128,0.131500244140625,27.893986463546756,0.0119545676491477,83.65003481086099,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,27.88248621940613
2025-11-04T00:51:30.650117,simple,short,5,13,27.89948558807373,0.1570005416870117,28.056486129760746,0.0120769647451547,82.80226208337636,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,28.01948558807373
2025-11-04T00:51:30.963118,simple,short,8,23,28.085694074630737,0.2890019416809082,28.37469601631165,0.0125653018122134,79.58424039031087,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,28.20569407463074
2025-11-04T00:51:31.144117,simple,short,5,13,28.405985832214355,0.1575002670288086,28.563486099243164,0.0121154051560621,82.53954260040811,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,28.525985832214356
2025-11-04T00:51:34.260623,simple,short,6,233,28.590838193893436,3.0930063724517822,31.68384456634521,0.0132747054611664,75.3312382655404,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,28.710838193893437
2025-11-04T00:51:34.376121,simple,short,4,8,31.73749208450317,0.091998815536499,31.829490900039676,0.0114998519420623,86.95764128426339,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,31.85749208450317
2025-11-04T00:51:34.518124,simple,short,7,10,31.8284924030304,0.1185019016265869,31.946994304656982,0.0118501901626586,84.38683145787101,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,31.9484924030304
2025-11-04T00:51:35.818124,simple,short,6,98,31.97649335861206,1.277000904083252,33.25349426269531,0.0130306214702372,76.74231058618817,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,32.09649335861206
2025-11-04T00:51:35.960124,simple,short,5,10,33.26095461845398,0.1179986000061035,33.37895321846008,0.0117998600006103,84.74676817761183,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,33.38095461845398
2025-11-04T00:51:36.089623,simple,short,5,9,33.40495753288269,0.1054990291595459,33.51045656204224,0.0117221143510606,85.30884190781816,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,33.52495753288269
2025-11-04T00:51:36.300124,simple,short,6,15,33.53599500656128,0.1859991550445556,33.721994161605835,0.012399943669637,80.64552764450346,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,33.65599500656128
2025-11-04T00:51:36.428624,simple,short,5,9,33.76099681854248,0.1049976348876953,33.865994453430176,0.0116664038764105,85.71621646169775,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,33.88099681854248
2025-11-04T00:51:36.531624,simple,short,7,7,33.854496479034424,0.0789971351623535,33.93349361419678,0.0112853050231933,88.61080829847467,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,33.97449647903442
2025-11-04T00:51:39.554128,simple,short,4,226,33.95849537849426,2.9990031719207764,36.95749855041504,0.0132699255394724,75.35837311410825,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,34.07849537849426
2025-11-04T00:51:43.027637,simple,short,5,259,36.97584629058838,3.448506593704224,40.4243528842926,0.0133146972729892,75.1049745628569,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,37.095846290588376
2025-11-04T00:51:43.169137,simple,short,5,10,40.43002843856812,0.1179795265197753,40.54800796508789,0.0117979526519775,84.76046899818527,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,40.55002843856812
2025-11-04T00:51:43.272136,simple,short,5,7,40.588458776474,0.0794997215270996,40.6679584980011,0.0113571030752999,88.05062288946336,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,40.708458776474
2025-11-04T00:51:43.452637,simple,short,5,13,40.69492244720459,0.1575009822845459,40.852423429489136,0.0121154601757343,82.53916776540363,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,40.81492244720459
2025-11-04T00:51:43.620138,simple,short,4,12,40.856507301330566,0.1445016860961914,41.00100898742676,0.0120418071746826,83.04401370107114,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,40.976507301330564
2025-11-04T00:51:43.788138,simple,short,6,12,41.03444242477417,0.1445014476776123,41.17894387245178,0.0120417873064676,83.04415071863095,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,41.15444242477417
2025-11-04T00:51:44.809639,simple,short,6,77,41.15450644493103,0.9975025653839112,42.15200901031494,0.0129545787712196,77.1927839307008,llama3,NVIDIA GeForce RTX 3060 Ti,6661,8192,94,128,41.27450644493103
