batch_size,prompt_type,prompt_length,total_output_tokens,batch_time,avg_token_latency,avg_throughput,gpu_name,gpu_mem_used_MB,gpu_mem_total_MB,gpu_util_percent
1,simple,long,481.0,6.690012216567993,0.0139085493067941,71.89822446195102,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,95.0
1,simple,long,379.0,5.2350053787231445,0.0138126790995333,72.39725130758907,NVIDIA GeForce RTX 3060 Ti,6656.0,8192,94.0
1,simple,long,308.0,4.2410972118377686,0.0137697961423304,72.62271639053901,NVIDIA GeForce RTX 3060 Ti,6669.0,8192,94.0
1,simple,long,501.0,6.975146055221558,0.013922447216011,71.82645295648742,NVIDIA GeForce RTX 3060 Ti,6669.0,8192,94.0
1,simple,long,354.0,4.887070894241333,0.0138052850119811,72.43602715424795,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,93.0
1,simple,long,335.0,4.619145631790161,0.0137884944232542,72.52423428576118,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,95.0
1,simple,long,411.0,5.698020458221436,0.0138637967353319,72.13031315234842,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
1,simple,long,504.0,7.017521619796753,0.0139236540075332,71.82022761115444,NVIDIA GeForce RTX 3060 Ti,6656.0,8192,94.0
1,simple,long,451.0,6.272022008895874,0.0139069224144032,71.90663542958357,NVIDIA GeForce RTX 3060 Ti,6661.0,8192,94.0
1,simple,long,490.0,6.824522018432617,0.0139275959559849,71.79990022400689,NVIDIA GeForce RTX 3060 Ti,6656.0,8192,95.0
1,simple,long,437.0,6.0645129680633545,0.0138776040459115,72.05854819691348,NVIDIA GeForce RTX 3060 Ti,6665.0,8192,94.0
1,simple,long,547.0,7.597623348236084,0.0138896222088411,71.99619867007428,NVIDIA GeForce RTX 3060 Ti,6656.0,8192,95.0
1,simple,long,550.0,7.638121604919434,0.0138874938271262,72.00723272666478,NVIDIA GeForce RTX 3060 Ti,6656.0,8192,94.0
1,simple,long,400.0,5.534588098526001,0.013836470246315,72.27276770723552,NVIDIA GeForce RTX 3060 Ti,6656.0,8192,94.0
1,simple,long,502.0,6.986635684967041,0.0139176009660698,71.85146365655505,NVIDIA GeForce RTX 3060 Ti,6619.0,8192,94.0
1,simple,long,512.0,7.124022722244263,0.0139141068793833,71.86950687303619,NVIDIA GeForce RTX 3060 Ti,6624.0,8192,94.0
1,simple,long,456.0,6.47001838684082,0.0141886368132474,70.47893417543371,NVIDIA GeForce RTX 3060 Ti,6619.0,8192,95.0
1,moderate,short,201.0,2.7735073566436768,0.0137985440629038,72.47141404493604,NVIDIA GeForce RTX 3060 Ti,7032.0,8192,94.0
1,moderate,short,16.0,0.309138536453247,0.0193211585283279,51.75673076403976,NVIDIA GeForce RTX 3060 Ti,7037.0,8192,85.0
1,moderate,short,9.0,0.2175009250640869,0.0241667694515652,41.37913435240856,NVIDIA GeForce RTX 3060 Ti,6982.0,8192,99.0
1,moderate,short,122.0,1.7125015258789062,0.0140368977531057,71.24081243512236,NVIDIA GeForce RTX 3060 Ti,6962.0,8192,91.0
1,moderate,short,139.0,1.9385054111480715,0.0139460820945904,71.70472633227155,NVIDIA GeForce RTX 3060 Ti,6957.0,8192,94.0
1,moderate,short,14.0,0.2829992771148681,0.0202142340796334,49.4700910289515,NVIDIA GeForce RTX 3060 Ti,6957.0,8192,94.0
1,moderate,short,38.0,0.595595121383667,0.0156735558258859,63.80173147106989,NVIDIA GeForce RTX 3060 Ti,6957.0,8192,93.0
1,moderate,long,623.0,8.630634546279907,0.0138533459811876,72.18472716684938,NVIDIA GeForce RTX 3060 Ti,6957.0,8192,93.0
1,moderate,long,577.0,8.004121541976929,0.0138719610779496,72.0878608569314,NVIDIA GeForce RTX 3060 Ti,6957.0,8192,94.0
1,moderate,long,528.0,7.354110479354858,0.0139282395442326,71.79658253465877,NVIDIA GeForce RTX 3060 Ti,6957.0,8192,94.0
1,complex,short,437.0,7.664560794830322,0.0175390407204355,57.01566100105209,NVIDIA GeForce RTX 3060 Ti,6952.0,8192,95.0
1,complex,short,331.0,6.016050815582275,0.0181753801074993,55.019482073301525,NVIDIA GeForce RTX 3060 Ti,6935.0,8192,95.0
1,moderate,long,397.0,5.522008419036865,0.0139093411058863,71.89413160460985,NVIDIA GeForce RTX 3060 Ti,6406.0,8192,95.0
1,moderate,long,581.0,8.07575535774231,0.013899751046028,71.94373458118557,NVIDIA GeForce RTX 3060 Ti,6367.0,8192,94.0
1,moderate,long,475.0,6.620514869689941,0.0139379260414525,71.74668577132063,NVIDIA GeForce RTX 3060 Ti,6366.0,8192,94.0
1,moderate,long,488.0,6.813012838363648,0.0139610918818927,71.62763546431363,NVIDIA GeForce RTX 3060 Ti,6366.0,8192,94.0
1,moderate,long,406.0,5.6315131187438965,0.0138707219673494,72.09430066826478,NVIDIA GeForce RTX 3060 Ti,6378.0,8192,94.0
1,complex,short,260.0,3.577507257461548,0.013759643297929,72.67630260084653,NVIDIA GeForce RTX 3060 Ti,6384.0,8192,94.0
1,complex,short,428.0,5.942512273788452,0.0138843744714683,72.02341034916243,NVIDIA GeForce RTX 3060 Ti,6394.0,8192,93.0
1,complex,short,507.0,7.0636982917785645,0.0139323437707664,71.77543250822265,NVIDIA GeForce RTX 3060 Ti,6393.0,8192,92.0
1,complex,short,374.0,5.172133922576904,0.013829235087104,72.310579269313,NVIDIA GeForce RTX 3060 Ti,6408.0,8192,94.0
1,complex,short,237.0,3.269643545150757,0.0137959643255306,72.48496563226203,NVIDIA GeForce RTX 3060 Ti,6400.0,8192,94.0
1,complex,long,656.0,9.088104009628296,0.013853817087848,72.18227248554899,NVIDIA GeForce RTX 3060 Ti,6392.0,8192,94.0
1,complex,long,544.0,7.572587251663208,0.0139201971537926,71.83806299234365,NVIDIA GeForce RTX 3060 Ti,6407.0,8192,94.0
